# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
1.04            	p               	3.93468052e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94525257e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.06            	p               	3.98543964e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94548883e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.08            	p               	3.92722044e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94476087e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.1             	p               	4.00350005e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94784557e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.12            	p               	3.91545249e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94904334e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.14            	p               	3.99463824e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94565813e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.16            	p               	3.91970467e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94559702e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.18            	p               	3.97205859e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94446908e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.2             	p               	3.92557574e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94688937e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.22            	p               	3.94507434e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94922534e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.24            	p               	3.92657108e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94675477e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.26            	p               	3.92137896e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94532887e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.28            	p               	3.99474256e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94507486e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.3             	p               	3.91770311e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94561521e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.32            	p               	3.99275023e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94852172e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.34            	p               	3.92539440e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94819806e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.36            	p               	3.95753640e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94528322e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.38            	p               	3.91211921e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94558591e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.4             	p               	3.93326830e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94457807e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.42            	p               	3.93961070e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94764927e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.44            	p               	3.92007694e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94919155e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.46            	p               	3.99973368e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94585054e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.48            	p               	3.91031329e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94554282e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.5             	p               	3.98781440e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94456171e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.52            	p               	3.92685304e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94662208e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.54            	p               	3.95788008e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94911354e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.56            	p               	3.90874225e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94707890e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.58            	p               	3.92621005e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94528162e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.6             	p               	3.94633964e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94523352e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.62            	p               	3.91762297e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94531652e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.64            	p               	4.00214159e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94831992e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.66            	p               	3.91290109e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94850044e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.68            	p               	3.99494391e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94535061e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.7             	p               	3.91815286e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94562501e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.72            	p               	3.97805153e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94447155e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.74            	p               	3.92682935e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94744069e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.76            	p               	3.97138808e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94927415e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.78            	p               	3.92724379e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94608309e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.8             	p               	3.96687485e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94548022e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.82            	p               	3.93911465e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94469365e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.84            	p               	3.97700815e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94633142e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.86            	p               	3.93285877e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94896230e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.88            	p               	3.97726214e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94741833e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.9             	p               	3.92234810e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94525144e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.92            	p               	3.96134953e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94537442e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.94            	p               	3.91655639e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94504315e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.96            	p               	3.94449493e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94811740e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.98            	p               	3.91788150e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94876739e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2               	p               	3.92173439e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94545548e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.02            	p               	3.95510339e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94562913e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.04            	p               	3.91549589e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94443056e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.06            	p               	4.00974801e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94721778e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
