# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
1.32            	p               	3.94229590e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94411779e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.34            	p               	3.91754344e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94764038e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.36            	p               	3.89958305e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94463459e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.38            	p               	3.89601031e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94282904e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.4             	p               	3.90473439e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94764591e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.42            	p               	3.89038176e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94376021e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.44            	p               	3.93769521e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94835215e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.46            	p               	3.99448888e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94419147e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.48            	p               	3.96290710e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94432693e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.5             	p               	3.92856267e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94661433e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.52            	p               	3.90534823e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94301267e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.54            	p               	3.89931848e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94853837e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.56            	p               	3.90680350e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94413020e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.58            	p               	3.89217343e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94622273e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.6             	p               	3.93252792e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94550054e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.62            	p               	3.99229339e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94244546e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.64            	p               	3.95981587e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94831491e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.66            	p               	3.92325324e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94411694e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.68            	p               	3.90666955e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94764990e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.7             	p               	3.89709960e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94462807e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.72            	p               	3.90392075e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94283694e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.74            	p               	3.89506034e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94763941e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.76            	p               	3.95256829e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94375484e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.78            	p               	3.98521644e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94835480e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.8             	p               	3.94553358e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94418998e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.82            	p               	3.91744152e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94434284e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.84            	p               	3.90224322e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94660443e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.86            	p               	3.89969844e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94300648e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.88            	p               	3.89233799e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94853870e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.9             	p               	3.90953104e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94413058e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.92            	p               	3.98942865e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94623696e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.94            	p               	3.96858243e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94549245e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.96            	p               	3.93136458e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94244367e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.98            	p               	3.91028659e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94831095e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
