# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.1             	p               	3.94663170e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95152087e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.12            	p               	3.94500102e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95150017e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.14            	p               	3.93736922e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95146599e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.16            	p               	3.92873027e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95142427e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.18            	p               	3.92369097e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95138156e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.2             	p               	3.92431043e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95134426e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.22            	p               	3.93043317e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95131792e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.24            	p               	3.93971189e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95130636e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.26            	p               	3.94757466e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95131048e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.28            	p               	3.94894070e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95132766e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.3             	p               	3.94232717e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95135174e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.32            	p               	3.93222762e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95137391e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.34            	p               	3.92561532e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95138469e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.36            	p               	3.92691527e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95137685e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.38            	p               	3.93543865e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95134851e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.4             	p               	3.94546444e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95130491e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.42            	p               	3.94915480e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95125736e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.44            	p               	3.94248742e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95121930e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.46            	p               	3.92937300e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95120164e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.48            	p               	3.91862635e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95120912e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.5             	p               	3.91823045e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95123938e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.52            	p               	3.93055697e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95128435e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.54            	p               	3.94963342e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95133353e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.56            	p               	3.96234148e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95137772e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.58            	p               	3.95758319e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95141149e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.6             	p               	3.93905555e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95143355e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.62            	p               	3.91930755e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95144539e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.64            	p               	3.90869742e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95144966e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.66            	p               	3.91363832e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95144931e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.68            	p               	3.93436105e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95144748e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.7             	p               	3.96214224e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95144745e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.72            	p               	3.97892286e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95145215e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.74            	p               	3.95829591e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.95146303e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.76            	p               	3.93188104e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.95147884e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.78            	p               	3.91925633e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95149518e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
