# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.94            	3.65844124e-02	1.82922062e-02	1.82922062e-02	-4.01122427e-01	-1.51327228e-01	-2.49795198e-01	4.92339852e-02	1.85556397e-19	1.69236904e-20	0.00000000e+00	1.69236904e-20	-1.69236904e-20
0.96            	3.65016839e-02	1.82508419e-02	1.82508419e-02	-4.01451051e-01	-1.51263830e-01	-2.50187221e-01	4.94616958e-02	1.85708417e-19	1.68854208e-20	0.00000000e+00	1.68854208e-20	-1.68854208e-20
0.98            	3.64419118e-02	1.82209559e-02	1.82209559e-02	-4.01780488e-01	-1.51226746e-01	-2.50553743e-01	4.96634985e-02	1.85860812e-19	1.68577706e-20	0.00000000e+00	1.68577706e-20	-1.68577706e-20
1               	3.64101802e-02	1.82050901e-02	1.82050901e-02	-4.02042159e-01	-1.51211578e-01	-2.50830581e-01	4.98095014e-02	1.85981859e-19	1.68430918e-20	0.00000000e+00	1.68430918e-20	-1.68430918e-20
1.02            	3.63675466e-02	1.81837733e-02	1.81837733e-02	-4.02350071e-01	-1.51189691e-01	-2.51160380e-01	4.99853449e-02	1.86124297e-19	1.68233698e-20	0.00000000e+00	1.68233698e-20	-1.68233698e-20
1.04            	3.63157083e-02	1.81578542e-02	1.81578542e-02	-4.02690601e-01	-1.51160176e-01	-2.51530425e-01	5.01851241e-02	1.86281824e-19	1.67993898e-20	0.00000000e+00	1.67993898e-20	-1.67993898e-20
1.06            	3.62824616e-02	1.81412308e-02	1.81412308e-02	-4.02902492e-01	-1.51131954e-01	-2.51770538e-01	5.03192923e-02	1.86379843e-19	1.67840101e-20	0.00000000e+00	1.67840101e-20	-1.67840101e-20
1.08            	3.62509993e-02	1.81254996e-02	1.81254996e-02	-4.03020408e-01	-1.51094129e-01	-2.51926278e-01	5.04160746e-02	1.86434390e-19	1.67694559e-20	0.00000000e+00	1.67694559e-20	-1.67694559e-20
1.1             	3.62072109e-02	1.81036054e-02	1.81036054e-02	-4.03176659e-01	-1.51047839e-01	-2.52128820e-01	5.05404903e-02	1.86506671e-19	1.67491997e-20	0.00000000e+00	1.67491997e-20	-1.67491997e-20
1.12            	3.61745382e-02	1.80872691e-02	1.80872691e-02	-4.03354001e-01	-1.51014023e-01	-2.52339978e-01	5.06629775e-02	1.86588708e-19	1.67340855e-20	0.00000000e+00	1.67340855e-20	-1.67340855e-20
