# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.88            	3.69780069e-02	1.84890035e-02	1.84890035e-02	-3.99716148e-01	-1.51254817e-01	-2.48461331e-01	4.86032567e-02	-3.28206485e-20	-3.04682293e-21	0.00000000e+00	-3.04682293e-21	3.04682293e-21
0.9             	3.69010569e-02	1.84505284e-02	1.84505284e-02	-4.00089605e-01	-1.51218668e-01	-2.48870937e-01	4.88261347e-02	-3.28000636e-20	-3.04513468e-21	0.00000000e+00	-3.04513468e-21	3.04513468e-21
0.92            	3.68425484e-02	1.84212742e-02	1.84212742e-02	-4.00507502e-01	-1.51221671e-01	-2.49285831e-01	4.90320801e-02	-3.28117872e-20	-3.04913245e-21	0.00000000e+00	-3.04913245e-21	3.04913245e-21
0.94            	3.67761686e-02	1.83880843e-02	1.83880843e-02	-4.00841997e-01	-1.51180930e-01	-2.49661067e-01	4.92400687e-02	-3.27806387e-20	-3.04678276e-21	0.00000000e+00	-3.04678276e-21	3.04678276e-21
0.96            	3.67195748e-02	1.83597874e-02	1.83597874e-02	-4.01177566e-01	-1.51162676e-01	-2.50014890e-01	4.94261073e-02	-3.27973813e-20	-3.05453865e-21	0.00000000e+00	-3.05453865e-21	3.05453865e-21
0.98            	3.66660882e-02	1.83330441e-02	1.83330441e-02	-4.01484768e-01	-1.51126139e-01	-2.50358628e-01	4.96162444e-02	-3.27662813e-20	-3.05500860e-21	0.00000000e+00	-3.05500860e-21	3.05500860e-21
1               	3.66097286e-02	1.83048643e-02	1.83048643e-02	-4.01743967e-01	-1.51079637e-01	-2.50664330e-01	4.97923463e-02	-3.27512932e-20	-3.05618587e-21	0.00000000e+00	-3.05618587e-21	3.05618587e-21
1.02            	3.65699679e-02	1.82849840e-02	1.82849840e-02	-4.02045802e-01	-1.51066909e-01	-2.50978893e-01	4.99559920e-02	-3.27577462e-20	-3.05834475e-21	0.00000000e+00	-3.05834475e-21	3.05834475e-21
1.04            	3.65204830e-02	1.82602415e-02	1.82602415e-02	-4.02273483e-01	-1.51018207e-01	-2.51255277e-01	5.01185350e-02	-3.27400804e-20	-3.05344878e-21	0.00000000e+00	-3.05344878e-21	3.05344878e-21
1.06            	3.64843896e-02	1.82421948e-02	1.82421948e-02	-4.02530425e-01	-1.51006259e-01	-2.51524166e-01	5.02589533e-02	-3.27853339e-20	-3.05660654e-21	0.00000000e+00	-3.05660654e-21	3.05660654e-21
1.08            	3.64462200e-02	1.82231100e-02	1.82231100e-02	-4.02731674e-01	-1.50963107e-01	-2.51768567e-01	5.04027299e-02	-3.27801049e-20	-3.05049368e-21	0.00000000e+00	-3.05049368e-21	3.05049368e-21
1.1             	3.64090956e-02	1.82045478e-02	1.82045478e-02	-4.02894975e-01	-1.50922643e-01	-2.51972331e-01	5.05248439e-02	-3.28073268e-20	-3.04909007e-21	0.00000000e+00	-3.04909007e-21	3.04909007e-21
1.12            	3.63865863e-02	1.81932932e-02	1.81932932e-02	-4.03075967e-01	-1.50904175e-01	-2.52171792e-01	5.06338087e-02	-3.28242080e-20	-3.04652357e-21	0.00000000e+00	-3.04652357e-21	3.04652357e-21
1.14            	3.63573099e-02	1.81786549e-02	1.81786549e-02	-4.03181985e-01	-1.50861708e-01	-2.52320277e-01	5.07292844e-02	-3.28206044e-20	-3.03983043e-21	0.00000000e+00	-3.03983043e-21	3.03983043e-21
1.16            	3.63460972e-02	1.81730486e-02	1.81730486e-02	-4.03324099e-01	-1.50866873e-01	-2.52457226e-01	5.07951763e-02	-3.28619377e-20	-3.04163263e-21	0.00000000e+00	-3.04163263e-21	3.04163263e-21
1.18            	3.63301127e-02	1.81650563e-02	1.81650563e-02	-4.03385153e-01	-1.50838037e-01	-2.52547116e-01	5.08545393e-02	-3.28527349e-20	-3.03549587e-21	0.00000000e+00	-3.03549587e-21	3.03549587e-21
1.2             	3.63188553e-02	1.81594276e-02	1.81594276e-02	-4.03427592e-01	-1.50826430e-01	-2.52601163e-01	5.08873664e-02	-3.28810295e-20	-3.03838030e-21	0.00000000e+00	-3.03838030e-21	3.03838030e-21
