# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.24            	3.63499701e-02	1.81749850e-02	1.81749850e-02	-4.03305815e-01	-1.50800238e-01	-2.52505577e-01	5.08526698e-02	-1.49336636e-19	-1.33847141e-20	0.00000000e+00	-1.33847141e-20	1.33847141e-20
1.26            	3.63518882e-02	1.81759441e-02	1.81759441e-02	-4.03312571e-01	-1.50803702e-01	-2.52508869e-01	5.08525831e-02	-1.49338073e-19	-1.33841891e-20	0.00000000e+00	-1.33841891e-20	1.33841891e-20
1.28            	3.63508145e-02	1.81754073e-02	1.81754073e-02	-4.03328201e-01	-1.50809069e-01	-2.52519132e-01	5.08550315e-02	-1.49338211e-19	-1.33831964e-20	0.00000000e+00	-1.33831964e-20	1.33831964e-20
1.3             	3.63470855e-02	1.81735428e-02	1.81735428e-02	-4.03316882e-01	-1.50798744e-01	-2.52518137e-01	5.08596964e-02	-1.49321988e-19	-1.33847190e-20	0.00000000e+00	-1.33847190e-20	1.33847190e-20
1.32            	3.63461776e-02	1.81730888e-02	1.81730888e-02	-4.03297966e-01	-1.50790099e-01	-2.52507867e-01	5.08588842e-02	-1.49323950e-19	-1.33864572e-20	0.00000000e+00	-1.33864572e-20	1.33864572e-20
1.34            	3.63468052e-02	1.81734026e-02	1.81734026e-02	-4.03308596e-01	-1.50795740e-01	-2.52512856e-01	5.08585580e-02	-1.49345722e-19	-1.33841891e-20	0.00000000e+00	-1.33841891e-20	1.33841891e-20
1.36            	3.63470833e-02	1.81735416e-02	1.81735416e-02	-4.03320465e-01	-1.50800323e-01	-2.52520142e-01	5.08599094e-02	-1.49348412e-19	-1.33827019e-20	0.00000000e+00	-1.33827019e-20	1.33827019e-20
1.38            	3.63488802e-02	1.81744401e-02	1.81744401e-02	-4.03321299e-01	-1.50803099e-01	-2.52518200e-01	5.08575504e-02	-1.49329374e-19	-1.33858677e-20	0.00000000e+00	-1.33858677e-20	1.33858677e-20
1.4             	3.63512129e-02	1.81756064e-02	1.81756064e-02	-4.03327354e-01	-1.50808331e-01	-2.52519023e-01	5.08553458e-02	-1.49326314e-19	-1.33856562e-20	0.00000000e+00	-1.33856562e-20	1.33856562e-20
1.42            	3.63485464e-02	1.81742732e-02	1.81742732e-02	-4.03322601e-01	-1.50803714e-01	-2.52518886e-01	5.08575860e-02	-1.49339507e-19	-1.33817988e-20	0.00000000e+00	-1.33817988e-20	1.33817988e-20
1.44            	3.63453515e-02	1.81726757e-02	1.81726757e-02	-4.03306296e-01	-1.50792995e-01	-2.52513301e-01	5.08601531e-02	-1.49342267e-19	-1.33820982e-20	0.00000000e+00	-1.33820982e-20	1.33820982e-20
1.46            	3.63460416e-02	1.81730208e-02	1.81730208e-02	-4.03305288e-01	-1.50792929e-01	-2.52512360e-01	5.08597154e-02	-1.49329525e-19	-1.33871360e-20	0.00000000e+00	-1.33871360e-20	1.33871360e-20
1.48            	3.63481345e-02	1.81740672e-02	1.81740672e-02	-4.03312175e-01	-1.50798166e-01	-2.52514009e-01	5.08579213e-02	-1.49332992e-19	-1.33855025e-20	0.00000000e+00	-1.33855025e-20	1.33855025e-20
1.5             	3.63476359e-02	1.81738179e-02	1.81738179e-02	-4.03322081e-01	-1.50801235e-01	-2.52520847e-01	5.08598058e-02	-1.49348871e-19	-1.33825002e-20	0.00000000e+00	-1.33825002e-20	1.33825002e-20
1.52            	3.63497392e-02	1.81748696e-02	1.81748696e-02	-4.03331489e-01	-1.50808331e-01	-2.52523158e-01	5.08574131e-02	-1.49340867e-19	-1.33834009e-20	0.00000000e+00	-1.33834009e-20	1.33834009e-20
1.54            	3.63505134e-02	1.81752567e-02	1.81752567e-02	-4.03323422e-01	-1.50806549e-01	-2.52516873e-01	5.08551622e-02	-1.49320284e-19	-1.33857895e-20	0.00000000e+00	-1.33857895e-20	1.33857895e-20
1.56            	3.63471148e-02	1.81735574e-02	1.81735574e-02	-4.03305448e-01	-1.50794428e-01	-2.52511020e-01	5.08582959e-02	-1.49330803e-19	-1.33833829e-20	0.00000000e+00	-1.33833829e-20	1.33833829e-20
