# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.9             	3.68069214e-02	1.84034607e-02	1.84034607e-02	-4.03050456e-01	-1.52467403e-01	-2.50583053e-01	4.90578247e-02	1.86448290e-19	1.70266215e-20	0.00000000e+00	1.70266215e-20	-1.70266215e-20
0.92            	3.67615618e-02	1.83807809e-02	1.83807809e-02	-4.03346203e-01	-1.52449391e-01	-2.50896812e-01	4.92237108e-02	1.86585101e-19	1.70056385e-20	0.00000000e+00	1.70056385e-20	-1.70056385e-20
0.94            	3.67188205e-02	1.83594102e-02	1.83594102e-02	-4.03631598e-01	-1.52438082e-01	-2.51193516e-01	4.93777167e-02	1.86717122e-19	1.69858666e-20	0.00000000e+00	1.69858666e-20	-1.69858666e-20
0.96            	3.66757502e-02	1.83378751e-02	1.83378751e-02	-4.03911222e-01	-1.52427804e-01	-2.51483418e-01	4.95278073e-02	1.86846474e-19	1.69659427e-20	0.00000000e+00	1.69659427e-20	-1.69659427e-20
0.98            	3.66323688e-02	1.83161844e-02	1.83161844e-02	-4.04185842e-01	-1.52414020e-01	-2.51771822e-01	4.96789006e-02	1.86973512e-19	1.69458747e-20	0.00000000e+00	1.69458747e-20	-1.69458747e-20
1               	3.65902916e-02	1.82951458e-02	1.82951458e-02	-4.04451322e-01	-1.52395413e-01	-2.52055909e-01	4.98302482e-02	1.87096321e-19	1.69264101e-20	0.00000000e+00	1.69264101e-20	-1.69264101e-20
1.02            	3.65510760e-02	1.82755380e-02	1.82755380e-02	-4.04699706e-01	-1.52373252e-01	-2.52326454e-01	4.99766012e-02	1.87211222e-19	1.69082693e-20	0.00000000e+00	1.69082693e-20	-1.69082693e-20
1.04            	3.65152645e-02	1.82576322e-02	1.82576322e-02	-4.04921549e-01	-1.52349545e-01	-2.52572004e-01	5.01112292e-02	1.87313844e-19	1.68917031e-20	0.00000000e+00	1.68917031e-20	-1.68917031e-20
1.06            	3.64818696e-02	1.82409348e-02	1.82409348e-02	-4.05112071e-01	-1.52325001e-01	-2.52787071e-01	5.02310350e-02	1.87401979e-19	1.68762548e-20	0.00000000e+00	1.68762548e-20	-1.68762548e-20
1.08            	3.64494924e-02	1.82247462e-02	1.82247462e-02	-4.05273225e-01	-1.52298753e-01	-2.52974472e-01	5.03378594e-02	1.87476528e-19	1.68612774e-20	0.00000000e+00	1.68612774e-20	-1.68612774e-20
1.1             	3.64188553e-02	1.82094277e-02	1.82094277e-02	-4.05405832e-01	-1.52271139e-01	-2.53134693e-01	5.04317772e-02	1.87537870e-19	1.68471049e-20	0.00000000e+00	1.68471049e-20	-1.68471049e-20
1.12            	3.63923879e-02	1.81961939e-02	1.81961939e-02	-4.05510434e-01	-1.52244467e-01	-2.53265966e-01	5.05107496e-02	1.87586258e-19	1.68348612e-20	0.00000000e+00	1.68348612e-20	-1.68348612e-20
1.14            	3.63724434e-02	1.81862217e-02	1.81862217e-02	-4.05590135e-01	-1.52222073e-01	-2.53368063e-01	5.05729950e-02	1.87623128e-19	1.68256350e-20	0.00000000e+00	1.68256350e-20	-1.68256350e-20
1.16            	3.63596830e-02	1.81798415e-02	1.81798415e-02	-4.05651622e-01	-1.52206672e-01	-2.53444951e-01	5.06191394e-02	1.87651571e-19	1.68197322e-20	0.00000000e+00	1.68197322e-20	-1.68197322e-20
1.18            	3.63524504e-02	1.81762252e-02	1.81762252e-02	-4.05703925e-01	-1.52198893e-01	-2.53505032e-01	5.06530698e-02	1.87675766e-19	1.68163864e-20	0.00000000e+00	1.68163864e-20	-1.68163864e-20
1.2             	3.63475667e-02	1.81737834e-02	1.81737834e-02	-4.05755710e-01	-1.52196807e-01	-2.53558903e-01	5.06810483e-02	1.87699721e-19	1.68141273e-20	0.00000000e+00	1.68141273e-20	-1.68141273e-20
1.22            	3.63420756e-02	1.81710378e-02	1.81710378e-02	-4.05812472e-01	-1.52196850e-01	-2.53615622e-01	5.07093858e-02	1.87725979e-19	1.68115871e-20	0.00000000e+00	1.68115871e-20	-1.68115871e-20
1.24            	3.63345690e-02	1.81672845e-02	1.81672845e-02	-4.05874857e-01	-1.52195533e-01	-2.53679323e-01	5.07418951e-02	1.87754838e-19	1.68081146e-20	0.00000000e+00	1.68081146e-20	-1.68081146e-20
1.26            	3.63252708e-02	1.81626354e-02	1.81626354e-02	-4.05939030e-01	-1.52190748e-01	-2.53748282e-01	5.07787667e-02	1.87784524e-19	1.68038134e-20	0.00000000e+00	1.68038134e-20	-1.68038134e-20
1.28            	3.63154226e-02	1.81577113e-02	1.81577113e-02	-4.05998159e-01	-1.52182229e-01	-2.53815931e-01	5.08168511e-02	1.87811877e-19	1.67992576e-20	0.00000000e+00	1.67992576e-20	-1.67992576e-20
1.3             	3.63067653e-02	1.81533826e-02	1.81533826e-02	-4.06043387e-01	-1.52171560e-01	-2.53871827e-01	5.08501337e-02	1.87832799e-19	1.67952528e-20	0.00000000e+00	1.67952528e-20	-1.67952528e-20
1.32            	3.63007734e-02	1.81503867e-02	1.81503867e-02	-4.06067094e-01	-1.52161310e-01	-2.53905784e-01	5.08722371e-02	1.87843766e-19	1.67924810e-20	0.00000000e+00	1.67924810e-20	-1.67924810e-20
1.34            	3.62979866e-02	1.81489933e-02	1.81489933e-02	-4.06067933e-01	-1.52153635e-01	-2.53914298e-01	5.08803314e-02	1.87844154e-19	1.67911919e-20	0.00000000e+00	1.67911919e-20	-1.67911919e-20
1.36            	3.62978261e-02	1.81489130e-02	1.81489130e-02	-4.06052535e-01	-1.52149372e-01	-2.53903163e-01	5.08768954e-02	1.87837031e-19	1.67911176e-20	0.00000000e+00	1.67911176e-20	-1.67911176e-20
1.38            	3.62990349e-02	1.81495174e-02	1.81495174e-02	-4.06031910e-01	-1.52148020e-01	-2.53883890e-01	5.08679353e-02	1.87827490e-19	1.67916768e-20	0.00000000e+00	1.67916768e-20	-1.67916768e-20
1.4             	3.63005523e-02	1.81502762e-02	1.81502762e-02	-4.06014905e-01	-1.52148586e-01	-2.53866319e-01	5.08588667e-02	1.87819623e-19	1.67923787e-20	0.00000000e+00	1.67923787e-20	-1.67923787e-20
