# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.74            	3.74987982e-02	1.87493991e-02	1.87493991e-02	-3.96534969e-01	-1.51278355e-01	-2.45256614e-01	4.69891296e-02	1.17984520e-19	1.07078713e-20	0.00000000e+00	1.07078713e-20	-1.07078713e-20
0.76            	3.74002059e-02	1.87001030e-02	1.87001030e-02	-3.97086918e-01	-1.51284073e-01	-2.45802845e-01	4.72593858e-02	1.18113962e-19	1.06885330e-20	0.00000000e+00	1.06885330e-20	-1.06885330e-20
0.78            	3.73099751e-02	1.86549875e-02	1.86549875e-02	-3.97587527e-01	-1.51288793e-01	-2.46298734e-01	4.75049703e-02	1.18246610e-19	1.06694359e-20	0.00000000e+00	1.06694359e-20	-1.06694359e-20
0.8             	3.72232020e-02	1.86116010e-02	1.86116010e-02	-3.98190468e-01	-1.51328975e-01	-2.46861493e-01	4.77662593e-02	1.18434462e-19	1.06433085e-20	0.00000000e+00	1.06433085e-20	-1.06433085e-20
0.82            	3.71445849e-02	1.85722924e-02	1.85722924e-02	-3.98651176e-01	-1.51314803e-01	-2.47336373e-01	4.80107846e-02	1.18505945e-19	1.06250909e-20	0.00000000e+00	1.06250909e-20	-1.06250909e-20
0.84            	3.70596111e-02	1.85298055e-02	1.85298055e-02	-3.99127220e-01	-1.51309326e-01	-2.47817894e-01	4.82542839e-02	1.18674372e-19	1.05954285e-20	0.00000000e+00	1.05954285e-20	-1.05954285e-20
0.86            	3.69807272e-02	1.84903636e-02	1.84903636e-02	-3.99550654e-01	-1.51294235e-01	-2.48256418e-01	4.84810914e-02	1.18777526e-19	1.05766788e-20	0.00000000e+00	1.05766788e-20	-1.05766788e-20
0.88            	3.69010023e-02	1.84505012e-02	1.84505012e-02	-3.99921191e-01	-1.51256291e-01	-2.48664900e-01	4.87043045e-02	1.18909854e-19	1.05527730e-20	0.00000000e+00	1.05527730e-20	-1.05527730e-20
0.9             	3.68299007e-02	1.84149503e-02	1.84149503e-02	-4.00383675e-01	-1.51264782e-01	-2.49118892e-01	4.89270551e-02	1.19080449e-19	1.05276983e-20	0.00000000e+00	1.05276983e-20	-1.05276983e-20
0.92            	3.67755577e-02	1.83877788e-02	1.83877788e-02	-4.00762053e-01	-1.51245950e-01	-2.49516103e-01	4.91350765e-02	1.19167046e-19	1.05116366e-20	0.00000000e+00	1.05116366e-20	-1.05116366e-20
0.94            	3.67039770e-02	1.83519885e-02	1.83519885e-02	-4.01135117e-01	-1.51207934e-01	-2.49927183e-01	4.93596244e-02	1.19354071e-19	1.04743794e-20	0.00000000e+00	1.04743794e-20	-1.04743794e-20
0.96            	3.66505391e-02	1.83252695e-02	1.83252695e-02	-4.01448556e-01	-1.51182498e-01	-2.50266058e-01	4.95417803e-02	1.19411878e-19	1.04650601e-20	0.00000000e+00	1.04650601e-20	-1.04650601e-20
0.98            	3.65842139e-02	1.82921070e-02	1.82921070e-02	-4.01740465e-01	-1.51128624e-01	-2.50611841e-01	4.97416082e-02	1.19603560e-19	1.04298361e-20	0.00000000e+00	1.04298361e-20	-1.04298361e-20
1               	3.65299187e-02	1.82649594e-02	1.82649594e-02	-4.02039633e-01	-1.51102825e-01	-2.50936807e-01	4.99169910e-02	1.19678020e-19	1.04198597e-20	0.00000000e+00	1.04198597e-20	-1.04198597e-20
1.02            	3.64933925e-02	1.82466962e-02	1.82466962e-02	-4.02357897e-01	-1.51096817e-01	-2.51261080e-01	5.00821314e-02	1.19816170e-19	1.04002229e-20	0.00000000e+00	1.04002229e-20	-1.04002229e-20
1.04            	3.64457326e-02	1.82228663e-02	1.82228663e-02	-4.02599789e-01	-1.51047170e-01	-2.51552620e-01	5.02527250e-02	1.19912241e-19	1.03757797e-20	0.00000000e+00	1.03757797e-20	-1.03757797e-20
1.06            	3.64140329e-02	1.82070165e-02	1.82070165e-02	-4.02787018e-01	-1.51016742e-01	-2.51770276e-01	5.03767673e-02	1.19962299e-19	1.03682201e-20	0.00000000e+00	1.03682201e-20	-1.03682201e-20
1.08            	3.63685526e-02	1.81842763e-02	1.81842763e-02	-4.02987386e-01	-1.50972577e-01	-2.52014809e-01	5.05211157e-02	1.20101792e-19	1.03418852e-20	0.00000000e+00	1.03418852e-20	-1.03418852e-20
1.1             	3.63353355e-02	1.81676678e-02	1.81676678e-02	-4.03120333e-01	-1.50929373e-01	-2.52190960e-01	5.06307933e-02	1.20106720e-19	1.03426233e-20	0.00000000e+00	1.03426233e-20	-1.03426233e-20
1.12            	3.63102094e-02	1.81551047e-02	1.81551047e-02	-4.03365755e-01	-1.50938875e-01	-2.52426881e-01	5.07440029e-02	1.20293824e-19	1.03155181e-20	0.00000000e+00	1.03155181e-20	-1.03155181e-20
1.14            	3.62963877e-02	1.81481938e-02	1.81481938e-02	-4.03462673e-01	-1.50904748e-01	-2.52557925e-01	5.08265882e-02	1.20229764e-19	1.03217219e-20	0.00000000e+00	1.03217219e-20	-1.03217219e-20
1.16            	3.62722301e-02	1.81361150e-02	1.81361150e-02	-4.03581808e-01	-1.50882921e-01	-2.52698887e-01	5.09079829e-02	1.20372562e-19	1.02951775e-20	0.00000000e+00	1.02951775e-20	-1.02951775e-20
1.18            	3.62622841e-02	1.81311421e-02	1.81311421e-02	-4.03626085e-01	-1.50865714e-01	-2.52760371e-01	5.09473283e-02	1.20321280e-19	1.03042169e-20	0.00000000e+00	1.03042169e-20	-1.03042169e-20
1.2             	3.62449723e-02	1.81224861e-02	1.81224861e-02	-4.03640089e-01	-1.50835613e-01	-2.52804476e-01	5.09844315e-02	1.20397926e-19	1.02900654e-20	0.00000000e+00	1.02900654e-20	-1.02900654e-20
1.22            	3.62386426e-02	1.81193213e-02	1.81193213e-02	-4.03722941e-01	-1.50850691e-01	-2.52872250e-01	5.10107794e-02	1.20413111e-19	1.02919408e-20	0.00000000e+00	1.02919408e-20	-1.02919408e-20
1.24            	3.62479927e-02	1.81239963e-02	1.81239963e-02	-4.03752150e-01	-1.50858517e-01	-2.52893633e-01	5.10175579e-02	1.20394226e-19	1.02961339e-20	0.00000000e+00	1.02961339e-20	-1.02961339e-20
1.26            	3.62363161e-02	1.81181581e-02	1.81181581e-02	-4.03781350e-01	-1.50841568e-01	-2.52939782e-01	5.10491073e-02	1.20436080e-19	1.02830908e-20	0.00000000e+00	1.02830908e-20	-1.02830908e-20
