# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
3.17875         	rho             	1.66443035e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.74246843e+00	(7.37500000e-01 8.87500000e-01 5.78241159e-20)	7
3.17875         	p               	1.18547729e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.21857210e+01	(7.37500000e-01 8.87500000e-01 5.78241159e-20)	7
3.3100952       	mag(U)          	4.36637400e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06599007e+00	(3.87500000e-01 4.62500000e-01 2.06988249e-17)	1
3.3100952       	rho             	1.55549518e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.82365574e+00	(7.12500000e-01 8.87500000e-01 -2.79483227e-19)	7
3.3100952       	p               	1.09593029e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.28469206e+01	(7.12500000e-01 8.87500000e-01 -2.79483227e-19)	7
3.4426667       	mag(U)          	4.22756221e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06648019e+00	(3.87500000e-01 4.62500000e-01 2.06988249e-17)	1
3.4426667       	rho             	1.88633176e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.76656975e+00	(7.12500000e-01 8.62500000e-01 -2.15760248e-17)	7
3.4426667       	p               	1.49716577e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.20588393e+01	(7.12500000e-01 8.62500000e-01 -2.15760248e-17)	7
3.575           	mag(U)          	4.16150863e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06524090e+00	(3.87500000e-01 4.62500000e-01 2.06988249e-17)	1
3.575           	rho             	1.90365359e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.57221053e+00	(6.87500000e-01 8.62500000e-01 -3.77001189e-18)	7
3.575           	p               	1.52168190e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19992733e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
3.7066667       	mag(U)          	4.13730179e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06376868e+00	(3.87500000e-01 4.62500000e-01 2.06988249e-17)	1
