# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.6             	rho             	1.44136122e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	5.86496282e+00	(5.03125000e-01 3.12500000e-03 5.56155559e-20)	9
0.6             	p               	6.92418508e-03	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	1.26539871e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.62            	mag(U)          	8.70824082e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.61377009e+00	(6.90625000e-01 2.15625000e-01 4.13201495e-19)	9
0.62            	rho             	3.34281908e-02	(6.40625000e-01 2.03125000e-01 7.52570829e-17)	9	6.14383432e+00	(1.32187500e+00 9.96875000e-01 7.14368765e-19)	15
0.62            	p               	1.43159584e-02	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	1.25265270e+01	(5.59375000e-01 3.12500000e-03 2.66372412e-18)	9
0.64            	mag(U)          	1.16616582e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.68538202e+00	(6.78125000e-01 2.09375000e-01 -1.63818933e-17)	9
0.64            	rho             	1.29292690e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	6.44936937e+00	(1.27187500e+00 9.96875000e-01 -1.51629087e-16)	15
0.64            	p               	3.73667098e-03	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.24741499e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.66            	mag(U)          	1.18114457e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.64182758e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.66            	rho             	1.76413671e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	6.69682002e+00	(1.23437500e+00 9.96875000e-01 -1.51721445e-16)	15
0.66            	p               	1.12922276e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	1.25837418e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.68            	mag(U)          	1.00769431e-02	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.56536257e+00	(6.90625000e-01 2.15625000e-01 4.13201495e-19)	9
0.68            	rho             	3.39606583e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	6.92491574e+00	(1.20312500e+00 9.96875000e-01 -7.36859936e-17)	15
0.68            	p               	1.54861168e-02	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	1.24846642e+01	(5.59375000e-01 3.12500000e-03 2.66372412e-18)	9
0.7             	mag(U)          	1.18941654e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.70306683e+00	(6.78125000e-01 2.09375000e-01 -1.63818933e-17)	9
0.7             	rho             	1.48320361e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	7.12839075e+00	(1.17812500e+00 9.96875000e-01 7.34854162e-17)	15
0.7             	p               	3.70898710e-03	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.24548293e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.72            	mag(U)          	1.15625540e-02	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.56066921e+00	(6.90625000e-01 2.15625000e-01 4.13201495e-19)	9
0.72            	rho             	1.39342644e-02	(6.34375000e-01 2.03125000e-01 -1.26490253e-20)	9	7.33421025e+00	(1.15312500e+00 9.96875000e-01 7.51056962e-17)	15
0.72            	p               	9.61650316e-03	(6.34375000e-01 2.03125000e-01 -1.26490253e-20)	9	1.25107653e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.74            	mag(U)          	1.13619082e-02	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.60691905e+00	(6.78125000e-01 2.09375000e-01 -1.63818933e-17)	9
0.74            	rho             	2.84330418e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	7.50713539e+00	(1.13437500e+00 9.96875000e-01 7.17426616e-17)	15
0.74            	p               	1.24557020e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.24134505e+01	(5.53125000e-01 3.12500000e-03 -1.68613516e-18)	9
0.76            	mag(U)          	1.19861761e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.74485669e+00	(6.78125000e-01 2.09375000e-01 -1.63818933e-17)	9
