# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.84            	mag(U)          	4.95575409e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.77417753e+00	(6.39062500e-01 2.04687500e-01 3.86096440e-19)	6
0.84            	rho             	7.59632744e-03	(6.14062500e-01 2.00000000e-01 5.34873072e-19)	6	8.42218486e+00	(1.03906250e+00 9.98437500e-01 6.13979675e-19)	0
0.84            	p               	1.94919413e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.42602160e+01	(1.03906250e+00 9.98437500e-01 6.13979675e-19)	0
0.86            	mag(U)          	5.95828601e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.79449248e+00	(6.29687500e-01 2.07812500e-01 1.42150952e-19)	6
0.86            	rho             	1.43532521e-02	(6.23437500e-01 2.01562500e-01 3.54775044e-19)	6	8.57709894e+00	(1.02968750e+00 9.98437500e-01 4.73434949e-19)	0
0.86            	p               	4.68700394e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.47674483e+01	(1.02968750e+00 9.98437500e-01 4.73434949e-19)	0
0.88            	mag(U)          	3.41194975e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.67234333e+00	(6.73437500e-01 2.10937500e-01 -3.27408978e-18)	3
0.88            	rho             	9.54671352e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	8.65667929e+00	(1.01718750e+00 9.98437500e-01 1.44439421e-16)	0
0.88            	p               	5.08853889e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.49822574e+01	(1.02031250e+00 9.98437500e-01 -5.96182094e-16)	0
0.9             	mag(U)          	6.05652764e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.76770869e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.9             	rho             	6.94710833e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	8.79519903e+00	(1.00781250e+00 9.98437500e-01 1.47145911e-16)	0
0.9             	p               	1.64811261e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.52863375e+01	(1.00781250e+00 9.98437500e-01 1.47145911e-16)	0
0.92            	mag(U)          	3.52558096e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.73759024e+00	(6.29687500e-01 2.07812500e-01 1.42150952e-19)	6
0.92            	rho             	1.37029046e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	8.87747660e+00	(9.98437500e-01 9.98437500e-01 -1.84053358e-18)	0
0.92            	p               	3.40618559e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.55473876e+01	(1.00156250e+00 9.98437500e-01 1.50509949e-16)	0
0.94            	mag(U)          	5.96176657e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.68717522e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.94            	rho             	9.89039414e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	8.98514429e+00	(9.92187500e-01 9.98437500e-01 1.06372280e-18)	0
