# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.56            	mag(U)          	2.07703270e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.46796089e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.56            	rho             	6.52708661e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	5.80106750e+00	(5.06250000e-01 6.25000000e-03 -4.92910432e-20)	14
0.56            	p               	5.69528167e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.24758482e+01	(5.43750000e-01 6.25000000e-03 4.86786698e-19)	14
0.58            	mag(U)          	2.36402632e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.43727409e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.58            	rho             	3.95197670e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.84169984e+00	(4.93750000e-01 6.25000000e-03 -4.69027868e-18)	14
0.58            	p               	2.20971327e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.24293145e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.6             	mag(U)          	2.40049115e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.43252007e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.6             	rho             	7.64559792e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	5.79541094e+00	(4.93750000e-01 6.25000000e-03 -4.69027868e-18)	14
0.6             	p               	4.08352395e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.25071034e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.62            	mag(U)          	2.43635817e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.34744942e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.62            	rho             	4.93886851e-02	(6.56250000e-01 2.00000000e-01 4.62592927e-19)	14	5.75295219e+00	(4.68750000e-01 6.25000000e-03 3.08596063e-19)	14
0.62            	p               	4.12122110e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.25483938e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.64            	mag(U)          	2.43213644e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.40423660e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.64            	rho             	4.15831949e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.89833780e+00	(1.33125000e+00 1.00000000e+00 2.60208521e-19)	9
0.64            	p               	2.02679557e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.25474581e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.66            	mag(U)          	2.00528539e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.43801198e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.66            	rho             	7.53345668e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	6.18167800e+00	(1.28125000e+00 9.93750000e-01 -7.43937367e-17)	9
0.66            	p               	4.26848925e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.23389091e+01	(5.56250000e-01 6.25000000e-03 4.86786698e-19)	14
0.68            	mag(U)          	2.42667472e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.32006218e+00	(7.56250000e-01 2.31250000e-01 3.17229525e-20)	11
0.68            	rho             	5.52659022e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	6.44951974e+00	(1.24375000e+00 9.93750000e-01 5.78241159e-20)	9
0.68            	p               	4.63074906e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.23138007e+01	(5.31250000e-01 6.25000000e-03 5.91693297e-19)	14
0.7             	mag(U)          	2.43762467e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.36458098e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.7             	rho             	5.29433872e-02	(6.43750000e-01 2.00000000e-01 1.01192203e-19)	14	6.59308687e+00	(1.21875000e+00 9.93750000e-01 3.65275743e-18)	9
0.7             	p               	3.53065918e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.23482370e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.72            	mag(U)          	2.46095347e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.40979103e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.72            	rho             	6.46194886e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	6.78124250e+00	(1.19375000e+00 9.93750000e-01 -1.63272816e-18)	9
0.72            	p               	5.28349821e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.24073976e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.74            	mag(U)          	2.47661933e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.38099115e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.74            	rho             	4.19619158e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	6.99765918e+00	(1.16875000e+00 9.93750000e-01 1.81049315e-16)	9
0.74            	p               	2.20129563e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.24603707e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.76            	mag(U)          	2.42877313e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.34883219e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.76            	rho             	8.40290913e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	7.16069396e+00	(1.15625000e+00 9.93750000e-01 -1.50795858e-16)	9
0.76            	p               	4.45311868e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.24395272e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.78            	mag(U)          	1.97933351e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.26452150e+00	(7.43750000e-01 2.31250000e-01 -1.20005118e-18)	11
0.78            	rho             	4.28784195e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	7.24959767e+00	(1.13125000e+00 9.93750000e-01 3.51548539e-17)	9
0.78            	p               	3.02978741e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.22473595e+01	(5.56250000e-01 6.25000000e-03 4.86786698e-19)	14
0.8             	mag(U)          	2.43426199e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.33673404e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.8             	rho             	4.73579716e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	7.41388963e+00	(1.11875000e+00 9.93750000e-01 -1.63272816e-18)	9
0.8             	p               	2.20571175e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.21953747e+01	(5.31250000e-01 6.25000000e-03 5.91693297e-19)	14
0.82            	mag(U)          	2.42854706e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.31310879e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.82            	rho             	8.18886915e-02	(6.68750000e-01 2.06250000e-01 2.25473896e-19)	11	7.55220485e+00	(1.10625000e+00 9.93750000e-01 3.70210871e-17)	9
0.82            	p               	6.31475385e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.22296870e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.84            	mag(U)          	2.40703790e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.27282135e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.84            	rho             	5.15130230e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	7.66655699e+00	(1.09375000e+00 9.93750000e-01 3.48878189e-17)	9
0.84            	p               	3.85929272e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.25420825e+01	(1.09375000e+00 9.93750000e-01 3.48878189e-17)	9
0.86            	mag(U)          	2.42009758e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.31861950e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.86            	rho             	5.43755773e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	7.76608128e+00	(1.08125000e+00 9.93750000e-01 -2.13467361e-18)	9
0.86            	p               	3.39404422e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.28097973e+01	(1.08125000e+00 9.93750000e-01 -2.13467361e-18)	9
0.88            	mag(U)          	2.41950711e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.27126446e+00	(2.75625000e+00 8.81250000e-01 7.27515720e-17)	5
0.88            	rho             	5.88480920e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	7.88588406e+00	(1.06875000e+00 9.93750000e-01 4.13257713e-17)	9
0.88            	p               	4.25205383e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.31174978e+01	(1.06875000e+00 9.93750000e-01 4.13257713e-17)	9
0.9             	mag(U)          	2.37644315e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.27301965e+00	(2.70625000e+00 8.68750000e-01 1.47936977e-16)	5
0.9             	rho             	4.11939644e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	8.02982900e+00	(1.05625000e+00 9.93750000e-01 3.36018347e-17)	9
0.9             	p               	1.97987857e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.34971997e+01	(1.05625000e+00 9.93750000e-01 3.36018347e-17)	9
0.92            	mag(U)          	2.08298929e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.27715485e+00	(2.76875000e+00 8.68750000e-01 1.46505429e-16)	5
0.92            	rho             	7.41892941e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	8.16932344e+00	(1.04375000e+00 9.93750000e-01 5.78843493e-19)	8
0.92            	p               	4.47533358e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.38589557e+01	(1.04375000e+00 9.93750000e-01 5.78843493e-19)	8
0.94            	mag(U)          	2.34195101e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.27731551e+00	(2.83125000e+00 8.68750000e-01 -2.24871562e-20)	5
0.94            	rho             	4.67431034e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	8.24445123e+00	(1.03125000e+00 9.93750000e-01 3.47474750e-17)	8
0.94            	p               	2.82152918e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.39994148e+01	(1.03125000e+00 9.93750000e-01 3.47474750e-17)	8
0.96            	mag(U)          	2.36917106e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.27610134e+00	(2.88125000e+00 8.68750000e-01 -1.47345485e-16)	5
0.96            	rho             	7.80273733e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	8.21257584e+00	(1.01875000e+00 9.93750000e-01 3.76967056e-17)	8
0.96            	p               	3.70670274e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.41002145e+01	(1.03125000e+00 9.93750000e-01 3.47474750e-17)	8
0.98            	mag(U)          	2.36730825e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.27132049e+00	(2.84375000e+00 8.56250000e-01 -1.81979721e-16)	5
0.98            	rho             	5.78746158e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	8.37780590e+00	(1.01875000e+00 9.93750000e-01 3.76967056e-17)	8
0.98            	p               	4.41748859e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.45381522e+01	(1.01875000e+00 9.93750000e-01 3.76967056e-17)	8
1               	mag(U)          	2.34599564e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.27568184e+00	(2.81875000e+00 8.56250000e-01 3.76820488e-18)	5
1               	rho             	4.67084984e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	8.55060954e+00	(1.00625000e+00 9.93750000e-01 3.42122003e-17)	8
1               	p               	2.01415645e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.48809512e+01	(1.00625000e+00 9.93750000e-01 3.42122003e-17)	8
1.02            	mag(U)          	2.37115362e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.27777679e+00	(2.86875000e+00 8.56250000e-01 -5.47522097e-19)	5
1.02            	rho             	8.17064365e-02	(6.68750000e-01 2.06250000e-01 2.25473896e-19)	11	8.53977104e+00	(9.93750000e-01 9.93750000e-01 -2.03187518e-19)	8
